id,cashier,created_at
1,Alice,1672531200
2,Alice,1672617600
3,Alice,1672704000
4,Alice,1672790400
5,Alice,1672876800
6,Alice,1672963200
7,Alice,1673049600
8,Hannah,1673136000
9,Hannah,1673222400
10,Hannah,1673308800
11,Hannah,1673395200
12,Hannah,1673481600
13,Hannah,1673568000
14,Hannah,1673654400
15,Hannah,1673740800
16,Hannah,1673827200
17,Vincent,1673913600
18,Vincent,1674000000
19,Vincent,1674086400
20,Vincent,1674172800
21,Vincent,1674259200
22,Vincent,1674345600
23,Vincent,1674432000
24,Vincent,1674518400
25,Vincent,1674604800
26,Vincent,1674691200
